word	noun_nomn_score	best_parse	noun_nomn_parse
сдачи	0.062500	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
трубы	0.062500	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
шасси	0.062500	NOUN,inan,neut,Fixd sing,gent	NOUN,inan,neut,Fixd sing,nomn
смены	0.064516	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
благо	0.066666	NOUN,inan,neut sing,accs	NOUN,inan,neut sing,nomn
массы	0.066666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
рамки	0.066666	NOUN,inan,femn plur,accs	NOUN,inan,femn plur,nomn
сорта	0.066666	NOUN,inan,masc sing,gent	NOUN,inan,masc plur,nomn
волос	0.068965	NOUN,inan,masc plur,gent	NOUN,inan,masc sing,nomn
осени	0.068965	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
авеню	0.071428	NOUN,inan,femn,Fixd sing,gent	NOUN,inan,femn,Fixd sing,nomn
денди	0.071428	NOUN,anim,masc,Fixd sing,gent	NOUN,anim,masc,Fixd sing,nomn
обуви	0.071428	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
плато	0.071428	NOUN,inan,neut,Fixd sing,accs	NOUN,inan,neut,Fixd sing,nomn
сетки	0.071428	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
удачи	0.071428	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
букле	0.071429	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
нумер	0.071429	VERB,perf,intr masc,sing,past,indc	NOUN,anim,masc sing,nomn
кител	0.071960	NOUN,inan,neut plur,gent	NOUN,inan,masc,Fixd,Abbr sing,nomn
нации	0.073170	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
гонки	0.076923	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
грани	0.076923	NOUN,inan,femn sing,loct	NOUN,inan,femn plur,nomn
досье	0.076923	NOUN,inan,neut,Fixd sing,loct	NOUN,inan,neut,Fixd sing,nomn
ранчо	0.076923	NOUN,inan,neut,Fixd sing,loct	NOUN,inan,neut,Fixd sing,nomn
сорго	0.076923	NOUN,inan,neut,Fixd sing,accs	NOUN,inan,neut,Fixd sing,nomn
тетки	0.076923	NOUN,anim,femn sing,gent	NOUN,anim,femn plur,nomn
трико	0.076923	NOUN,inan,neut,Fixd plur,loct	NOUN,inan,neut,Fixd sing,nomn
места	0.079155	NOUN,inan,neut sing,gent	NOUN,inan,neut plur,nomn
нужды	0.080000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
виски	0.083333	NOUN,inan,masc,Fixd,Ms-f sing,gent	NOUN,inan,masc,Fixd,Ms-f sing,nomn
горки	0.083333	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
честь	0.083333	NOUN,inan,femn,Sgtm sing,accs	NOUN,inan,femn,Sgtm sing,nomn
шоссе	0.083333	NOUN,inan,neut,Fixd sing,gent	NOUN,inan,neut,Fixd sing,nomn
авизо	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
алиби	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
гуано	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
динго	0.083333	NOUN,anim,masc,Fixd sing,nomn	NOUN,anim,masc,Fixd sing,nomn
драже	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
каноэ	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
карго	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
каско	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
кашне	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
кашпо	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
кешью	0.083333	NOUN,inan,masc,Fixd sing,nomn	NOUN,inan,masc,Fixd sing,nomn
колли	0.083333	NOUN,anim,masc,Fixd,Ms-f sing,nomn	NOUN,anim,masc,Fixd,Ms-f sing,nomn
колье	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
кроки	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
лассо	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
манго	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
манто	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
мокко	0.083333	NOUN,inan,masc,Fixd,Ms-f sing,nomn	NOUN,inan,masc,Fixd,Ms-f sing,nomn
мотто	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
мумие	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
панно	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
папье	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
патио	0.083333	NOUN,inan,masc,Fixd sing,nomn	NOUN,inan,masc,Fixd sing,nomn
патуа	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
пенни	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
пепси	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
пончо	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
порто	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
профи	0.083333	NOUN,anim,ms-f,Fixd sing,nomn	NOUN,anim,ms-f,Fixd sing,nomn
рагби	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
родео	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
самбо	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
селфи	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
серсо	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
суфле	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
техно	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
трофи	0.083333	NOUN,anim,ms-f,Fixd sing,nomn	NOUN,anim,ms-f,Fixd sing,nomn
трюмо	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
тутти	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
фолио	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
фуэте	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
харчо	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
хинди	0.083333	NOUN,inan,masc,Fixd sing,nomn	NOUN,inan,masc,Fixd sing,nomn
танто	0.083333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
части	0.086363	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
главы	0.086956	NOUN,anim,ms-f sing,gent	NOUN,anim,ms-f plur,nomn
связи	0.087431	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
цвета	0.088495	NOUN,inan,masc sing,gent	NOUN,inan,masc plur,nomn
якори	0.089172	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
гайки	0.090909	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
казны	0.090909	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
кухни	0.090909	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
ложки	0.090909	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
магии	0.090909	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
мести	0.090909	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
чайки	0.090909	NOUN,anim,femn sing,gent	NOUN,anim,femn plur,nomn
графа	0.095238	NOUN,anim,masc sing,gent	NOUN,inan,femn sing,nomn
клише	0.095238	NOUN,inan,neut,Fixd plur,gent	NOUN,inan,neut,Fixd sing,nomn
метро	0.098039	NOUN,inan,neut,Fixd sing,loct	NOUN,inan,neut,Fixd sing,nomn
битвы	0.100000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
брони	0.100000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
дряни	0.100000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
мумии	0.100000	NOUN,anim,femn sing,gent	NOUN,inan,femn plur,nomn
пасты	0.100000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
регби	0.100000	NOUN,inan,neut,Fixd sing,gent	NOUN,inan,neut,Fixd sing,nomn
тепло	0.100000	ADVB,Prdx	NOUN,inan,neut,Sgtm sing,nomn
ножни	0.103448	VERB,impf,tran sing,impr,excl	NOUN,inan,femn plur,nomn
права	0.104278	NOUN,inan,neut sing,gent	NOUN,inan,neut plur,nomn
казни	0.105263	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
месяц	0.106060	NOUN,inan,masc sing,accs	NOUN,inan,masc sing,nomn
вести	0.106870	INFN,impf,tran	NOUN,inan,femn plur,nomn
сферы	0.107142	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
коати	0.109890	VERB,perf,tran sing,impr,excl	NOUN,inan,femn plur,nomn
горло	0.111111	NOUN,inan,neut sing,accs	NOUN,inan,neut sing,nomn
квант	0.111111	NOUN,inan,masc plur,gent,Coun	NOUN,inan,masc sing,nomn
ласки	0.111111	NOUN,inan,femn sing,gent	NOUN,anim,femn plur,nomn
лобби	0.111111	NOUN,inan,neut,Sgtm,Fixd sing,gent	NOUN,inan,neut,Sgtm,Fixd sing,nomn
марки	0.111111	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
матки	0.111111	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
пасхи	0.111111	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
спины	0.111111	NOUN,inan,femn sing,gent	NOUN,inan,masc plur,nomn
валки	0.111111	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
мрази	0.111111	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
парки	0.111111	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
сепии	0.111111	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
фобос	0.111111	ADJS,Qual masc,sing	NOUN,anim,masc sing,nomn
крыши	0.117647	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
посты	0.117647	NOUN,inan,masc plur,accs	NOUN,inan,masc plur,nomn
бочки	0.125000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
верфи	0.125000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
весть	0.125000	VERB,impf,tran sing,3per,pres,indc,Arch	NOUN,inan,femn sing,nomn
влаги	0.125000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
грома	0.125000	NOUN,inan,masc sing,gent	NOUN,inan,masc plur,nomn,Litr
диеты	0.125000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
какао	0.125000	NOUN,inan,neut,Fixd sing,accs	NOUN,inan,neut,Fixd sing,nomn
кишки	0.125000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
корма	0.125000	NOUN,inan,masc sing,gent	NOUN,inan,femn sing,nomn
кручи	0.125000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
пенки	0.125000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
поэмы	0.125000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
секты	0.125000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
скуки	0.125000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
сумки	0.125000	NOUN,inan,femn plur,accs	NOUN,inan,femn plur,nomn
устья	0.125000	NOUN,inan,neut sing,gent	NOUN,inan,neut plur,nomn
фауны	0.125000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
шторы	0.125000	NOUN,inan,femn plur,accs	NOUN,inan,femn plur,nomn
въезд	0.133333	NOUN,inan,masc sing,accs	NOUN,inan,masc sing,nomn
зомби	0.133333	NOUN,anim,masc,Fixd sing,nomn	NOUN,anim,masc,Fixd sing,nomn
суммы	0.133333	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
хобби	0.133333	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
кинзы	0.133333	NOUN,inan,femn,Sgtm,Geox sing,gent	NOUN,inan,femn plur,nomn
схемы	0.134615	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
время	0.138063	NOUN,inan,neut sing,accs	NOUN,inan,neut sing,nomn
арест	0.142857	NOUN,inan,masc sing,accs	NOUN,inan,masc sing,nomn
биржи	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
бомбы	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
варки	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
ведра	0.142857	NOUN,inan,neut sing,gent	NOUN,inan,neut plur,nomn
диско	0.142857	NOUN,inan,neut,Sgtm,Fixd sing,accs	NOUN,inan,neut,Sgtm,Fixd sing,nomn
жажды	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
канун	0.142857	NOUN,inan,masc sing,accs	NOUN,inan,masc sing,nomn
кредо	0.142857	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
майка	0.142857	NOUN,anim,masc,Name sing,accs	NOUN,inan,femn sing,nomn
ничьи	0.142857	NOUN,inan,femn sing,gent,Infr	NOUN,inan,femn plur,nomn
опции	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
осады	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
палки	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
пятки	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
рации	0.142857	NOUN,inan,femn sing,datv	NOUN,inan,femn plur,nomn
речки	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
убыли	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
унции	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
устье	0.142857	NOUN,inan,neut sing,loct	NOUN,inan,neut sing,nomn
ферма	0.142857	NOUN,inan,femn sing,nomn	NOUN,inan,femn sing,nomn
шейки	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,masc plur,nomn
шкалы	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
юдоли	0.142857	NOUN,inan,femn sing,datv	NOUN,inan,femn plur,nomn
душки	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
кегли	0.142857	NOUN,inan,masc plur,nomn	NOUN,inan,masc plur,nomn
носки	0.142857	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
факто	0.142857	ADVB	NOUN,anim,masc,Sgtm,Fixd sing,nomn
груди	0.148148	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
аудио	0.153846	NOUN,inan,neut,Fixd sing,nomn	NOUN,inan,neut,Fixd sing,nomn
обиды	0.153846	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
падре	0.153846	NOUN,anim,masc,Fixd sing,nomn	NOUN,anim,masc,Fixd sing,nomn
сутки	0.157894	NOUN,inan,GNdr,Pltm plur,accs	NOUN,inan,GNdr,Pltm plur,nomn
карты	0.158730	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
блага	0.160000	NOUN,inan,neut sing,gent	NOUN,inan,neut plur,nomn
банды	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
бронь	0.166666	NOUN,inan,femn sing,accs	NOUN,inan,femn sing,nomn
брюки	0.166666	NOUN,inan,GNdr,Pltm plur,accs	NOUN,inan,GNdr,Pltm plur,nomn
вилки	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
вольт	0.166666	NOUN,inan,masc plur,gent,Coun	NOUN,inan,masc sing,nomn
гаммы	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
глины	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
дрели	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
ереси	0.166666	NOUN,inan,femn sing,loct	NOUN,inan,femn plur,nomn
кормы	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
кроны	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,masc plur,nomn
ленты	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
лести	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
ловли	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
окиси	0.166666	NOUN,inan,femn plur,accs	NOUN,inan,femn plur,nomn
опоры	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
пайки	0.166666	NOUN,inan,masc plur,accs	NOUN,inan,femn plur,nomn
паузы	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
помпы	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
пульт	0.166666	NOUN,inan,masc sing,accs	NOUN,inan,masc sing,nomn
руины	0.166666	NOUN,inan,femn plur,accs	NOUN,anim,femn plur,nomn
румбы	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,masc plur,nomn
сапог	0.166666	NOUN,inan,masc plur,gent	NOUN,inan,masc sing,nomn
снега	0.166666	NOUN,inan,masc sing,gent	NOUN,inan,masc plur,nomn
судно	0.166666	NOUN,inan,neut sing,accs	NOUN,inan,neut sing,nomn
суеты	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
талии	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
трели	0.166666	NOUN,inan,femn plur,accs	NOUN,inan,femn plur,nomn
устав	0.166666	GRND,perf,intr past	NOUN,inan,masc sing,nomn
учебы	0.166666	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
фобии	0.166666	NOUN,inan,femn plur,accs	NOUN,inan,femn plur,nomn
баски	0.166667	NOUN,anim,masc plur,nomn	NOUN,anim,masc plur,nomn
блажи	0.166667	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
борты	0.166667	NOUN,inan,masc plur,nomn	NOUN,inan,masc plur,nomn
гуппи	0.166667	NOUN,anim,masc,Sgtm,Fixd sing,nomn	NOUN,anim,masc,Sgtm,Fixd sing,nomn
дроби	0.166667	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
дрожи	0.166667	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
жарки	0.166667	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
каури	0.166667	NOUN,inan,femn,Sgtm,Fixd sing,nomn	NOUN,inan,femn,Sgtm,Fixd sing,nomn
клети	0.166667	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
молви	0.166667	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
парфе	0.166667	NOUN,inan,neut,Sgtm,Fixd sing,nomn	NOUN,inan,neut,Sgtm,Fixd sing,nomn
питье	0.166667	NOUN,inan,neut sing,nomn,V-be	NOUN,inan,neut sing,nomn,V-be
питья	0.166667	NOUN,inan,neut sing,gent,V-be	NOUN,inan,neut plur,nomn,V-be
сайки	0.166667	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
стеки	0.166667	VERB,perf,intr sing,impr,excl	NOUN,inan,masc plur,nomn
буквы	0.173913	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
двери	0.175000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
формы	0.176136	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
бабки	0.181818	NOUN,inan,femn plur,accs	NOUN,inan,femn plur,nomn
мессы	0.181818	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
плечо	0.181818	NOUN,inan,neut sing,accs	NOUN,inan,neut sing,nomn
порно	0.181818	NOUN,inan,neut,Fixd sing,gent	NOUN,inan,neut,Fixd sing,nomn
школы	0.186567	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
улицы	0.187500	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
иконы	0.189189	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
турне	0.190476	NOUN,inan,neut,Fixd sing,accs	NOUN,inan,neut,Fixd sing,nomn
хиппи	0.190476	NOUN,anim,ms-f,Fixd plur,nomn	NOUN,anim,ms-f,Fixd plur,nomn
счета	0.194444	NOUN,inan,masc plur,accs	NOUN,inan,masc plur,nomn
радио	0.196078	NOUN,inan,neut,Fixd sing,gent	NOUN,inan,neut,Fixd sing,nomn
алтын	0.200000	NOUN,inan,masc sing,nomn	NOUN,inan,masc sing,nomn
аорты	0.200000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
бабус	0.200000	NOUN,inan,GNdr,Pltm plur,gent	NOUN,inan,masc sing,nomn
бабье	0.200000	ADJF,Poss neut,sing,nomn	NOUN,inan,neut,Sgtm sing,nomn
багаж	0.200000	NOUN,inan,masc sing,accs	NOUN,inan,masc sing,nomn
барки	0.200000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
билый	0.200000	ADJF masc,sing,nomn	NOUN,anim,masc sing,nomn
блики	0.200000	NOUN,inan,masc plur,accs	NOUN,inan,masc plur,nomn
блядь	0.200000	INTJ,Slng	NOUN,anim,femn,Slng sing,nomn
бубны	0.200000	NOUN,inan,femn sing,gent,Infr	NOUN,inan,femn plur,nomn
буксы	0.200000	NOUN,inan,masc plur,nomn	NOUN,inan,masc plur,nomn
буллы	0.200000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
бурки	0.200000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
бухты	0.200000	NOUN,inan,femn sing,gent	NOUN,inan,femn plur,nomn
вагон	0.200000	NOUN,inan,masc sing,accs	NOUN,inan,masc sing,nomn
валер	0.200000	NOUN,inan,masc sing,nomn	NOUN,inan,masc sing,nomn
